index,mutual information,features,pearson,ranks,mutual information score,pearson score,total score
0,0.0,PLEC_Exp_Index,-0.05010177370376318,17,0,10,10
1,0.03405187179259905,PL,-0.2597201263814973,23,14,1,15
2,0.0,Sqrt_TS_History_3,0.11183082398246877,29,1,18,19
3,0.0027497382492702727,PLEC,0.04554731411906543,6,4,17,21
4,0.0,Sqrt_TS_History_4,0.12249425257342145,41,2,20,22
5,0.01232956984664213,Flux_Band_4,0.04344652811489143,3,7,16,23
6,0.012392104809324067,nuFnu_Band_4,0.029318097933169186,1,8,15,23
7,0.021000213570372406,Sqrt_TS_Band_4,0.015407652177046096,40,10,14,24
8,0.027058418656149108,ASSOC_PROB_BAY,-0.0022631432683934607,10,12,12,24
9,0.010704786418087808,Sqrt_TS_History_5,0.12030288283697173,33,6,19,25
10,0.0065403805235901835,Sqrt_TS_History_2,0.13056552379345635,35,5,23,28
11,0.00019223068009499578,Sqrt_TS_History_6,0.13100513990467802,28,3,25,28
12,0.05740384748024896,Flux_Band_7,-0.10103162608737816,71,25,7,32
13,0.023250958712527803,Sqrt_TS_History_7,0.12544282503645685,31,11,21,32
14,0.08132444625893509,Sqrt_TS_Band_5,-0.18600532724336177,37,32,2,34
15,0.016351546449667298,Signif_Avg,0.14896989287738208,12,9,29,38
16,0.0664166386741869,HR_67,-0.07509726604398081,53,30,9,39
17,0.03325246782421143,Sqrt_TS_History_1,0.14490329990024092,34,13,27,40
18,0.043020581178473405,Flux1000,0.12580153126134436,8,18,22,40
19,0.08374154658083666,nuFnu_Band_7,-0.10444979539869399,39,34,6,40
20,0.09033475779126388,nuFnu_Band_5,-0.10485562915670753,63,37,5,42
21,0.08432003195073534,Flux_Band_5,-0.0970801901647717,72,35,8,43
22,0.04052529204699895,ASSOC_PROB_LR,0.15051558721287353,21,16,30,46
23,0.03493916662249141,nuFnu_Band_3,0.1534188769317255,25,15,32,47
24,0.05625730807953433,Sqrt_TS_History_0,0.13770670613893018,87,24,26,50
25,0.09307805394912871,HR_01,0.0007424828695803943,30,39,13,52
26,0.04556511603559832,Flux_Band_3,0.16148380449749744,47,20,34,54
27,0.05958120350757601,Energy_Flux100,0.14528977068826984,80,27,28,55
28,0.12466336385901644,nuFnu_Band_6,-0.15655269863745905,74,54,3,57
29,0.04676009922346336,Sqrt_TS_Band_3,0.2002214981229056,43,22,37,59
30,0.060802260263172814,HR_02,0.15326414848329048,32,29,31,60
31,0.13727125822711272,Flux_Band_6,-0.1559202954087399,66,60,4,64
32,0.050879318888348735,PLEC_ExpfactorS,0.23357966372208397,7,23,46,69
33,0.04513534164710964,HR_03,0.23962673778823906,0,19,50,69
34,0.04065694266364406,LP,0.2529645462814613,2,17,54,71
35,0.11015360808534336,Flux_History_2,0.13083823522573068,36,51,24,75
36,0.046175902110653366,PLEC_SigCurv,0.2864853382489957,22,21,56,77
37,0.09455551689944985,Flux_History_7,0.19102040650263408,67,42,36,78
38,0.07909950191313575,Flux_Band_0,0.23662697037590452,19,31,47,78
39,0.06027775133646607,LP_beta,0.24026053426394758,5,28,51,79
40,0.08280157685163658,nuFnu_Band_0,0.23665293644069263,65,33,48,81
41,0.32753268646543576,Pivot_Energy,-0.5495715556627668,82,81,0,81
42,0.09414801067830769,Flux_History_3,0.2253046350723848,44,40,41,81
43,0.09624025007804038,Flux_History_5,0.20246102225357834,42,44,38,82
44,0.10034725995535587,Flux_History_6,0.20606252825021895,26,45,39,84
45,0.2804258964184907,LP_EPeak,-0.04924493315918533,11,74,11,85
46,0.089685433770881,HR_57,0.23817391704064259,50,36,49,85
47,0.09537246526584942,Flux_History_4,0.23227238639020562,70,43,45,88
48,0.057586340723466245,LP_SigCurv,0.3258351827682189,16,26,62,88
49,0.10732655364369137,nuFnu_Band_2,0.2206350684870194,79,49,40,89
50,0.12586623685332743,Flux_History_1,0.15544224549022842,46,57,33,90
51,0.1094849460640126,Flux_History_0,0.22854878161287645,38,50,43,93
52,0.13649681052577312,Variability_Index,0.16879449385015605,15,59,35,94
53,0.0908622914001933,HR_47,0.3072570758849117,48,38,57,95
54,0.12279655763808606,HR_12,0.23192064174802587,68,53,44,97
55,0.12557188541686304,Flux_Band_2,0.22573363021714643,78,56,42,98
56,0.09430118486546246,HR_07,0.41249963054558225,45,41,68,109
57,0.12555076911453922,Npred,0.2582976916144614,4,55,55,110
58,0.10436765910535484,HR_04,0.3319860984377483,73,47,63,110
59,0.10592915423868754,HR_37,0.3691900367847371,61,48,65,113
60,0.12038753184341888,Sqrt_TS_Band_2,0.3228633081658954,20,52,61,113
61,0.15147416743764386,nuFnu_Band_1,0.24873722772602652,62,62,52,114
62,0.101578365467901,HR_27,0.4160070362274426,57,46,69,115
63,0.16587683581185297,Flux_Band_1,0.25027903760160164,24,63,53,116
64,0.1295376413832472,HR_56,0.40780445587053044,49,58,66,124
65,0.21865548535716073,LP_Flux_Density,0.3192677337961358,9,68,60,128
66,0.22936270927405178,PL_Flux_Density,0.3168359331953312,75,71,58,129
67,0.2304975985620228,PLEC_Flux_Density,0.3192659312531944,86,72,59,131
68,0.19133694734755502,HR_13,0.3393061824299746,27,67,64,131
69,0.17632976333749162,HR_05,0.41175611352458646,77,64,67,131
70,0.14146868806294632,HR_17,0.45035990280003785,84,61,71,132
71,0.18680428652513204,HR_06,0.5186549810337557,64,65,73,138
72,0.22855127763771743,HR_46,0.4750571111786408,54,70,72,142
73,0.18988620450400218,Frac_Variability,0.5457879503456284,18,66,76,142
74,0.3161759210002606,HR_14,0.4431303638021697,51,76,70,146
75,0.22326003631792624,HR_45,0.5666661814308198,52,69,79,148
76,0.2854029658114483,HR_36,0.5271453851326274,60,75,75,150
77,0.2795757776197245,HR_23,0.5733549043321187,83,73,80,153
78,0.3169986585593674,HR_26,0.5638799275303805,56,77,77,154
79,0.32369151926298745,HR_16,0.5642935537383045,85,78,78,156
80,0.3499890480078305,HR_15,0.5250422492182941,58,84,74,158
81,0.3266658865446075,HR_34,0.6579650241869014,59,80,81,161
82,0.32566598288766957,PLEC_IndexS,0.7005056743966647,69,79,83,162
83,0.3360142109860442,LP_Index,0.7008667919784914,14,82,84,166
84,0.37563808395522846,HR_24,0.6953147955820796,55,86,82,168
85,0.3421271522683067,HR_35,0.7184773404371259,76,83,85,168
86,0.36395304450047083,PL_Index,0.7352554310719392,13,85,86,171
87,0.3812645237755241,HR_25,0.7378152973319004,81,87,87,174
