,Parameter,Percentage NaNs
1,Signif_Avg,0.01389854065323437
2,Pivot_Energy,0.0
3,Flux1000,0.0
4,Energy_Flux100,0.0
5,PL_Flux_Density,0.01389854065323437
6,PL_Index,0.01389854065323437
7,LP_Flux_Density,0.04169562195969201
8,LP_Index,0.04169562195969201
9,LP_beta,0.04169562195969201
10,LP_SigCurv,0.0
11,LP_EPeak,12.55038220986796
12,PLEC_Flux_Density,0.05559416261292638
13,PLEC_IndexS,0.05559416261292638
14,PLEC_ExpfactorS,0.05559416261292638
15,PLEC_Exp_Index,0.05559416261292638
16,PLEC_SigCurv,0.0
17,PLEC_EPeak,33.453787352328
18,Npred,0.0
19,Variability_Index,0.0
20,Frac_Variability,0.0
21,Signif_Peak,0.0
22,Flux_Peak,0.0
23,Time_Peak,0.0
24,Peak_Interval,0.0
25,ASSOC_PROB_BAY,3.8359972202918646
26,ASSOC_PROB_LR,1.1535788742182085
27,Flux_Band_0,0.0
28,Flux_Band_1,0.0
29,Flux_Band_2,0.0
30,Flux_Band_3,0.0
31,Flux_Band_4,0.0
32,Flux_Band_5,0.0
33,Flux_Band_6,0.01389854065323437
34,Flux_Band_7,0.04169562195969201
35,nuFnu_Band_0,0.0
36,nuFnu_Band_1,0.0
37,nuFnu_Band_2,0.0
38,nuFnu_Band_3,0.0
39,nuFnu_Band_4,0.0
40,nuFnu_Band_5,0.0
41,nuFnu_Band_6,0.01389854065323437
42,nuFnu_Band_7,0.04169562195969201
43,Sqrt_TS_Band_0,56.136205698401675
44,Sqrt_TS_Band_1,23.50243224461431
45,Sqrt_TS_Band_2,5.239749826268247
46,Sqrt_TS_Band_3,0.9173036831132686
47,Sqrt_TS_Band_4,1.7512161223071532
48,Sqrt_TS_Band_5,16.33078526754691
49,Sqrt_TS_Band_6,43.32175121612231
51,Flux_History_0,0.0
52,Flux_History_1,0.0
53,Flux_History_2,0.0
54,Flux_History_3,0.0
55,Flux_History_4,0.0
56,Flux_History_5,0.0
57,Flux_History_6,0.0
58,Flux_History_7,0.0
59,Sqrt_TS_History_0,8.255733148019463
60,Sqrt_TS_History_1,7.352328005559416
61,Sqrt_TS_History_2,7.797081306462816
62,Sqrt_TS_History_3,7.963863794301595
63,Sqrt_TS_History_4,7.644197359277271
64,Sqrt_TS_History_5,7.936066712995138
65,Sqrt_TS_History_6,7.644197359277271
66,Sqrt_TS_History_7,7.032661570535092
67,Unnamed: 0_y,0.0
68,CLASS1,33.773453787352324
